,retweet_count,favorite_count,followers_count,predict_class_label,Date_class
474,0,10,0.0364,4,4
475,10917,29599,43,2,4
476,33,181,6.82,4,0
477,31,0,6.82,2,2
478,18,0,0.435,1,1
479,2,0,1.43,2,1
480,0,1,0.0364,2,0
481,17,0,6.82,2,3
482,235,0,6.82,4,3
483,3760,3108,43,2,3
484,263,1254,6.82,4,1
485,768,0,0.0364,2,2
486,5,16,0.136,3,4
487,1,3,0.136,2,3
488,157,0,6.82,2,3
489,0,0,0.136,1,0
490,1,0,1.43,2,0
491,18,128,6.82,2,2
492,69,803,6.82,4,0
493,1966,0,0.136,1,4
494,247,0,0.0364,4,0
495,7,0,1.43,2,1
496,2,4,1.43,2,1
497,11,41,0.136,4,0
498,0,1,0.136,4,4
499,152,954,6.82,2,0
500,4,0,1.43,4,0
501,22665,81739,43,4,4
502,83,0,0.435,4,3
503,6711,17374,43,2,4
504,646,0,0.435,1,2
505,0,1,0.0364,4,3
506,1734,0,0.435,1,0
507,851,0,0.435,4,0
508,92,633,6.82,4,1
509,2405,11927,43,4,3
510,16,52,0.435,2,3
511,28,180,1.43,3,3
512,0,4,6.82,4,0
513,28,0,0.435,2,3
514,46,0,0.0364,4,3
515,663,1335,43,2,0
516,0,0,0.0364,2,3
517,927,830,43,4,0
518,638,0,0.0364,4,0
519,56,441,6.82,2,2
520,8,0,0.136,4,0
521,20,46,1.43,3,3
522,558,0,0.435,3,1
523,17,68,0.136,4,0
524,1,0,0.0364,1,4
525,0,0,1.43,2,2
526,26,0,1.43,4,4
527,15,68,1.43,4,2
528,3962,0,0.435,4,1
529,16,37,0.136,3,4
530,0,0,0.136,4,3
531,333,0,0.435,2,1
532,2043,0,1.43,4,0
533,7,31,1.43,4,1
534,57,294,6.82,4,0
535,54,0,0.435,4,3
536,403,833,43,2,0
537,0,0,0.0364,4,4
538,6,0,0.136,4,3
539,1260,0,1.43,2,0
540,0,0,0.0364,2,4
541,0,5,0.0364,4,0
542,105,0,0.435,2,3
543,19,161,6.82,4,0
544,2071,0,0.435,2,1
545,487,297,43,2,0
546,0,0,1.43,2,0
547,547,1202,43,2,1
548,588,2322,43,2,0
549,251,244,43,2,4
550,493,0,0.435,4,1
551,2749,0,0.435,2,3
552,48,0,0.136,4,4
553,37810,56238,43,1,0
554,1,0,0.0364,2,4
555,90,0,6.82,1,4
556,688,1979,6.82,2,0
557,139,261,0.435,2,2
558,217,0,1.43,4,1
559,58,323,6.82,3,2
560,2,5,0.136,4,4
561,34,239,6.82,3,1
562,1285,586,43,2,0
563,0,3,0.0364,4,4
564,1650,0,0.435,4,2
565,0,2,6.82,4,0
566,1832,0,0.435,1,1
567,343,0,43,4,0
568,51,0,0.435,2,3
569,1255,430,43,2,0
570,3830,0,0.435,4,1
571,147,566,43,3,3
572,0,3,0.0364,4,3
573,9,0,0.435,4,3
574,1,21,1.43,4,3
575,12433,34230,6.82,1,1
576,174,0,0.0364,2,0
